data,ipca
2007 fev,0.44
2007 mar,0.37
2007 abr,0.25
2007 mai,0.28
2007 jun,0.28
2007 jul,0.24
2007 ago,0.47
2007 set,0.18
2007 out,0.3
2007 nov,0.38
2007 dez,0.74
2008 jan,0.54
2008 fev,0.49
2008 mar,0.48
2008 abr,0.55
2008 mai,0.79
2008 jun,0.74
2008 jul,0.53
2008 ago,0.28
2008 set,0.26
2008 out,0.45
2008 nov,0.36
2008 dez,0.28
2009 jan,0.48
2009 fev,0.55
2009 mar,0.2
2009 abr,0.48
2009 mai,0.47
2009 jun,0.36
2009 jul,0.24
2009 ago,0.15
2009 set,0.24
2009 out,0.28
2009 nov,0.41
2009 dez,0.37
2010 jan,0.75
2010 fev,0.78
2010 mar,0.52
2010 abr,0.57
2010 mai,0.43
2010 jun,0
2010 jul,0.01
2010 ago,0.04
2010 set,0.45
2010 out,0.75
2010 nov,0.83
2010 dez,0.63
2011 jan,0.83
2011 fev,0.8
2011 mar,0.79
2011 abr,0.77
2011 mai,0.47
2011 jun,0.15
2011 jul,0.16
2011 ago,0.37
2011 set,0.53
2011 out,0.43
2011 nov,0.52
2011 dez,0.5
2012 jan,0.56
2012 fev,0.45
2012 mar,0.21
2012 abr,0.64
2012 mai,0.36
2012 jun,0.08
2012 jul,0.43
2012 ago,0.41
2012 set,0.57
2012 out,0.59
2012 nov,0.6
2012 dez,0.79
2013 jan,0.86
2013 fev,0.6
2013 mar,0.47
2013 abr,0.55
2013 mai,0.37
2013 jun,0.26
2013 jul,0.03
2013 ago,0.24
2013 set,0.35
2013 out,0.57
2013 nov,0.54
2013 dez,0.92
2014 jan,0.55
2014 fev,0.69
2014 mar,0.92
2014 abr,0.67
2014 mai,0.46
2014 jun,0.4
2014 jul,0.01
2014 ago,0.25
2014 set,0.57
2014 out,0.42
2014 nov,0.51
2014 dez,0.78
2015 jan,1.24
2015 fev,1.22
2015 mar,1.32
2015 abr,0.71
2015 mai,0.74
2015 jun,0.79
2015 jul,0.62
2015 ago,0.22
2015 set,0.54
2015 out,0.82
2015 nov,1.01
2015 dez,0.96
2016 jan,1.27
2016 fev,0.9
2016 mar,0.43
2016 abr,0.61
2016 mai,0.78
2016 jun,0.35
2016 jul,0.52
2016 ago,0.44
2016 set,0.08
2016 out,0.26
2016 nov,0.18
2016 dez,0.3
2017 jan,0.38
2017 fev,0.33
2017 mar,0.25
2017 abr,0.14
2017 mai,0.31
2017 jun,-0.23
2017 jul,0.24
2017 ago,0.19
2017 set,0.16
2017 out,0.42
2017 nov,0.28
2017 dez,0.44
2018 jan,0.29
2018 fev,0.32
2018 mar,0.09
2018 abr,0.22
2018 mai,0.4
2018 jun,1.26
2018 jul,0.33
2018 ago,-0.09
2018 set,0.48
2018 out,0.45
2018 nov,-0.21
2018 dez,0.15
2019 jan,0.32
2019 fev,0.43
2019 mar,0.75
2019 abr,0.57
2019 mai,0.13
2019 jun,0.01
2019 jul,0.19
2019 ago,0.11
2019 set,-0.04
2019 out,0.1
2019 nov,0.51
2019 dez,1.15
2020 jan,0.21
2020 fev,0.25
2020 mar,0.07
2020 abr,-0.31
2020 mai,-0.38
2020 jun,0.26
2020 jul,0.36
2020 ago,0.24
2020 set,0.64
2020 out,0.86
2020 nov,0.89
2020 dez,1.35
2021 jan,0.25
2021 fev,0.86
2021 mar,0.93
2021 abr,0.31
2021 mai,0.83
2021 jun,0.53
2021 jul,0.96
2021 ago,0.87
2021 set,1.16
2021 out,1.25
2021 nov,0.95
2021 dez,0.73
2022 jan,0.54
2022 fev,1.01
2022 mar,1.62
2022 abr,1.06
2022 mai,0.47
