Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1989,1989,t,120942.86,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1990,1990,t,124500,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1991,1991,t,142285.71,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1992,1992,t,149400,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1993,1993,t,177857.14,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1994,1994,t,201571.43,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1995,1995,t,213428.57,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1996,1996,t,225285.71,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1997,1997,t,243071.43,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1998,1998,t,284571.43,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,1999,1999,t,284571.43,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2000,2000,t,308285.71,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2001,2001,t,312672.86,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2002,2002,t,331762.86,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2003,2003,t,362710,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2004,2004,t,368757.14,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2005,2005,t,332000,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2006,2006,t,335557.14,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2007,2007,t,354528.57,I,Imputed value,
QCL,Crops and livestock products,76,Brazil,5510,Production,21511.01,Fat of pigs,2008,2008,t,357492.86,I,Imputed value,
