"","dia","hora","sentido","eixos_2","eixos_3","eixos_4","eixos_5","eixos_6","eixos_7","eixos_8","eixos_9","passeio","moto","outros"
"82",2,3,"C","25","34","17","28","32","1","0","0","193","6","20"
"83",2,3,"D","8","11","10","4","3","1","0","0","48","0","2"
"84",2,3,"Total","33","45","27","32","35","2","0","0","241","6","22"
"85",2,4,"C","22","30","16","19","19","2","0","2","336","12","18"
"86",2,4,"D","10","14","14","2","6","1","0","0","55","4","5"
"87",2,4,"Total","32","44","30","21","25","3","0","2","391","16","23"
"88",2,5,"C","27","28","14","17","25","0","0","0","495","18","19"
"89",2,5,"D","17","16","21","7","7","0","0","0","92","3","10"
"90",2,5,"Total","44","44","35","24","32","0","0","0","587","21","29"
"91",2,6,"C","48","27","19","34","38","0","0","3","603","18","37"
"92",2,6,"D","22","21","32","11","14","0","0","3","142","3","13"
"93",2,6,"Total","70","48","51","45","52","0","0","6","745","21","50"
"94",2,7,"C","39","23","14","44","38","0","0","1","677","15","39"
"95",2,7,"D","30","20","38","4","14","1","0","0","271","6","11"
"96",2,7,"Total","69","43","52","48","52","1","0","1","948","21","50"
"97",2,8,"C","43","21","13","31","28","1","0","1","722","17","31"
"98",2,8,"D","29","23","35","6","16","1","0","0","329","11","13"
"99",2,8,"Total","72","44","48","37","44","2","0","1","1051","28","44"
"100",2,9,"C","42","32","20","48","40","0","0","0","698","20","36"
"101",2,9,"D","31","15","36","11","19","1","0","1","417","7","13"
"102",2,9,"Total","73","47","56","59","59","1","0","1","1115","27","49"
"103",2,10,"C","33","21","24","27","29","0","0","2","820","20","23"
"104",2,10,"D","25","19","22","7","21","0","0","0","470","6","15"
"105",2,10,"Total","58","40","46","34","50","0","0","2","1290","26","38"
"106",2,11,"C","31","25","18","36","32","0","0","0","792","17","32"
"107",2,11,"D","21","18","30","17","10","0","0","0","554","11","9"
"108",2,11,"Total","52","43","48","53","42","0","0","0","1346","28","41"
"109",2,12,"C","19","24","17","17","21","1","0","1","692","12","21"
"110",2,12,"D","27","19","29","4","14","1","0","6","458","3","10"
"111",2,12,"Total","46","43","46","21","35","2","0","7","1150","15","31"
"112",2,13,"C","29","26","19","20","33","1","0","1","639","16","19"
"113",2,13,"D","29","12","32","8","12","0","1","4","419","7","13"
"114",2,13,"Total","58","38","51","28","45","1","1","5","1058","23","32"
"115",2,14,"C","22","17","9","7","19","5","0","1","642","15","16"
"116",2,14,"D","24","19","19","12","22","0","0","3","445","7","17"
"117",2,14,"Total","46","36","28","19","41","5","0","4","1087","22","33"
"118",2,15,"C","18","14","12","14","22","1","0","1","651","17","16"
"119",2,15,"D","17","22","11","11","12","2","0","2","399","7","14"
"120",2,15,"Total","35","36","23","25","34","3","0","3","1050","24","30"
"121",2,16,"C","17","11","10","3","15","0","0","0","629","14","19"
"122",2,16,"D","21","14","22","5","11","2","0","3","380","11","15"
"123",2,16,"Total","38","25","32","8","26","2","0","3","1009","25","34"
"124",2,17,"C","22","13","8","10","21","0","0","2","370","7","15"
"125",2,17,"D","19","11","13","4","3","0","0","0","342","3","15"
"126",2,17,"Total","41","24","21","14","24","0","0","2","712","10","30"
"127",2,18,"C","17","3","9","9","13","0","0","0","288","11","9"
"128",2,18,"D","25","10","7","3","5","0","1","1","248","7","11"
"129",2,18,"Total","42","13","16","12","18","0","1","1","536","18","20"
"130",2,19,"C","2","5","4","5","7","0","0","0","279","4","6"
"131",2,19,"D","13","10","12","9","2","2","0","1","175","0","6"
"132",2,19,"Total","15","15","16","14","9","2","0","1","454","4","12"
"133",2,20,"C","12","9","7","8","14","0","0","0","261","9","11"
"134",2,20,"D","11","14","7","3","6","3","0","0","129","1","9"
"135",2,20,"Total","23","23","14","11","20","3","0","0","390","10","20"
"136",2,21,"C","9","8","4","5","15","1","0","0","139","3","5"
"137",2,21,"D","11","11","8","3","3","0","0","0","102","1","7"
"138",2,21,"Total","20","19","12","8","18","1","0","0","241","4","12"
"139",2,22,"C","8","5","3","2","9","0","0","0","103","2","4"
"140",2,22,"D","10","9","8","2","6","1","0","0","80","2","3"
"141",2,22,"Total","18","14","11","4","15","1","0","0","183","4","7"
"142",2,23,"C","8","7","1","1","1","0","0","0","81","2","3"
"143",2,23,"D","8","9","5","0","2","0","0","0","51","1","2"
"144",2,23,"Total","16","16","6","1","3","0","0","0","132","3","5"
"145",3,0,"C","10","11","2","0","2","0","0","0","40","4","3"
"146",3,0,"D","1","4","6","0","2","0","0","0","23","1","1"
"147",3,0,"Total","11","15","8","0","4","0","0","0","63","5","4"
"148",3,1,"C","7","2","4","2","3","0","0","0","38","0","2"
"149",3,1,"D","1","2","6","0","1","0","0","0","25","0","0"
"150",3,1,"Total","8","4","10","2","4","0","0","0","63","0","2"
"151",3,2,"C","3","2","0","2","1","1","0","0","25","1","0"
"152",3,2,"D","1","2","6","1","0","0","0","0","13","1","1"
"153",3,2,"Total","4","4","6","3","1","1","0","0","38","2","1"
"154",3,3,"C","3","5","1","0","2","0","0","0","25","0","0"
"155",3,3,"D","0","3","3","1","0","2","0","0","13","0","1"
"156",3,3,"Total","3","8","4","1","2","2","0","0","38","0","1"
"157",3,4,"C","3","0","0","0","3","0","0","0","48","2","2"
"158",3,4,"D","1","3","3","1","2","0","0","0","11","0","2"
"159",3,4,"Total","4","3","3","1","5","0","0","0","59","2","4"
"160",3,5,"C","4","2","4","0","8","0","0","0","101","2","5"
"161",3,5,"D","3","2","4","1","2","2","0","1","29","1","3"
"162",3,5,"Total","7","4","8","1","10","2","0","1","130","3","8"
"163",3,6,"C","6","6","3","4","5","0","0","4","165","6","0"
"164",3,6,"D","4","3","9","2","7","1","1","2","55","2","6"
"165",3,6,"Total","10","9","12","6","12","1","1","6","220","8","6"
"166",3,7,"C","7","4","2","1","10","3","0","1","247","13","7"
"167",3,7,"D","7","4","8","1","4","1","0","0","113","3","5"
"168",3,7,"Total","14","8","10","2","14","4","0","1","360","16","12"
"169",3,8,"C","9","9","5","6","7","0","0","1","356","8","5"
"170",3,8,"D","12","2","8","2","7","0","0","0","145","4","6"
"171",3,8,"Total","21","11","13","8","14","0","0","1","501","12","11"
"172",3,9,"C","7","6","10","7","13","1","0","1","418","25","5"
"173",3,9,"D","11","8","13","3","3","2","0","0","190","6","5"
"174",3,9,"Total","18","14","23","10","16","3","0","1","608","31","10"
"175",3,10,"C","12","6","5","0","7","1","0","3","514","14","4"
"176",3,10,"D","6","4","3","6","5","0","0","6","288","7","4"
"177",3,10,"Total","18","10","8","6","12","1","0","9","802","21","8"
"178",3,11,"C","5","10","6","9","12","3","0","3","469","16","6"
"179",3,11,"D","8","6","3","6","3","2","0","2","297","13","4"
"180",3,11,"Total","13","16","9","15","15","5","0","5","766","29","10"
"181",3,12,"C","6","5","5","1","13","0","0","2","391","17","4"
"182",3,12,"D","8","3","5","0","1","1","0","1","281","10","2"
"183",3,12,"Total","14","8","10","1","14","1","0","3","672","27","6"
"184",3,13,"C","5","2","4","2","8","0","0","1","285","6","4"
"185",3,13,"D","6","5","7","4","6","0","0","3","246","11","5"
"186",3,13,"Total","11","7","11","6","14","0","0","4","531","17","9"
"187",3,14,"C","10","7","3","3","9","3","0","1","269","7","9"
"188",3,14,"D","12","9","6","3","6","2","0","1","295","6","5"
"189",3,14,"Total","22","16","9","6","15","5","0","2","564","13","14"
